Epoch = 322, Iter= 159, Average Epoch Loss= 0.0349033719
Epoch = 323, Iter= 159, Average Epoch Loss= 0.0348960173
Epoch = 324, Iter= 159, Average Epoch Loss= 0.0348909372
Epoch = 325, Iter= 159, Average Epoch Loss= 0.0348917071
Epoch = 326, Iter= 159, Average Epoch Loss= 0.0348887001
Epoch = 327, Iter= 159, Average Epoch Loss= 0.0348899122
Epoch = 328, Iter= 159, Average Epoch Loss= 0.0348852619
Epoch = 329, Iter= 159, Average Epoch Loss= 0.0348885136
Epoch = 330, Iter= 159, Average Epoch Loss= 0.0348868434
Epoch = 331, Iter= 159, Average Epoch Loss= 0.0348804428
Epoch = 332, Iter= 159, Average Epoch Loss= 0.0348789490
Epoch = 333, Iter= 159, Average Epoch Loss= 0.0348786687
Epoch = 334, Iter= 159, Average Epoch Loss= 0.0348744298
Epoch = 335, Iter= 159, Average Epoch Loss= 0.0348712645
Epoch = 336, Iter= 159, Average Epoch Loss= 0.0348699710
Epoch = 337, Iter= 159, Average Epoch Loss= 0.0348670326
Epoch = 338, Iter= 159, Average Epoch Loss= 0.0348656187
Epoch = 339, Iter= 159, Average Epoch Loss= 0.0348625296
Epoch = 340, Iter= 159, Average Epoch Loss= 0.0348616374
Epoch = 341, Iter= 159, Average Epoch Loss= 0.0348587577
Epoch = 342, Iter= 159, Average Epoch Loss= 0.0348568499
Epoch = 343, Iter= 159, Average Epoch Loss= 0.0348555738
Epoch = 344, Iter= 159, Average Epoch Loss= 0.0348516323
Epoch = 345, Iter= 159, Average Epoch Loss= 0.0348513447
Epoch = 346, Iter= 159, Average Epoch Loss= 0.0348537498
Epoch = 347, Iter= 159, Average Epoch Loss= 0.0348548758
Epoch = 348, Iter= 159, Average Epoch Loss= 0.0348538415
Epoch = 349, Iter= 159, Average Epoch Loss= 0.0348532863
Epoch = 350, Iter= 159, Average Epoch Loss= 0.0348555257
Epoch = 351, Iter= 159, Average Epoch Loss= 0.0348517290
Epoch = 352, Iter= 159, Average Epoch Loss= 0.0348495917
Epoch = 353, Iter= 159, Average Epoch Loss= 0.0348529853
Epoch = 354, Iter= 159, Average Epoch Loss= 0.0348505000
Epoch = 355, Iter= 159, Average Epoch Loss= 0.0348498426
Epoch = 356, Iter= 159, Average Epoch Loss= 0.0348488375
Epoch = 357, Iter= 159, Average Epoch Loss= 0.0348468566
Epoch = 358, Iter= 159, Average Epoch Loss= 0.0348429875
Epoch = 359, Iter= 159, Average Epoch Loss= 0.0348427448
Epoch = 360, Iter= 159, Average Epoch Loss= 0.0348421808
Epoch = 361, Iter= 159, Average Epoch Loss= 0.0348401122
Epoch = 362, Iter= 159, Average Epoch Loss= 0.0348394757
Epoch = 363, Iter= 159, Average Epoch Loss= 0.0348387347
Epoch = 364, Iter= 159, Average Epoch Loss= 0.0348346432
Epoch = 365, Iter= 159, Average Epoch Loss= 0.0348343093
Epoch = 366, Iter= 159, Average Epoch Loss= 0.0348351312
Epoch = 367, Iter= 159, Average Epoch Loss= 0.0348319016
Epoch = 368, Iter= 159, Average Epoch Loss= 0.0348337473
Epoch = 369, Iter= 159, Average Epoch Loss= 0.0348225721
Epoch = 370, Iter= 159, Average Epoch Loss= 0.0348258227
Epoch = 371, Iter= 159, Average Epoch Loss= 0.0348251072
Epoch = 372, Iter= 159, Average Epoch Loss= 0.0348267155
Epoch = 373, Iter= 159, Average Epoch Loss= 0.0348285161
Epoch = 374, Iter= 159, Average Epoch Loss= 0.0348248275
Epoch = 375, Iter= 159, Average Epoch Loss= 0.0348234260
Epoch = 376, Iter= 159, Average Epoch Loss= 0.0348277272
Epoch = 377, Iter= 159, Average Epoch Loss= 0.0348333010
Epoch = 378, Iter= 159, Average Epoch Loss= 0.0348308873
Epoch = 379, Iter= 159, Average Epoch Loss= 0.0348226955
Epoch = 380, Iter= 159, Average Epoch Loss= 0.0348245865
Epoch = 381, Iter= 159, Average Epoch Loss= 0.0348311593
Epoch = 382, Iter= 159, Average Epoch Loss= 0.0348233281
Epoch = 383, Iter= 159, Average Epoch Loss= 0.0348288338
Epoch = 384, Iter= 159, Average Epoch Loss= 0.0348266983
Epoch = 385, Iter= 159, Average Epoch Loss= 0.0348271335
Epoch = 386, Iter= 159, Average Epoch Loss= 0.0348299886
Epoch = 387, Iter= 159, Average Epoch Loss= 0.0348298015
Epoch = 388, Iter= 159, Average Epoch Loss= 0.0348284497
Epoch = 389, Iter= 159, Average Epoch Loss= 0.0348296464
Epoch = 390, Iter= 159, Average Epoch Loss= 0.0348283754
Epoch = 391, Iter= 159, Average Epoch Loss= 0.0348278277
Epoch = 392, Iter= 159, Average Epoch Loss= 0.0348306047
Epoch = 393, Iter= 159, Average Epoch Loss= 0.0348284012
Epoch = 394, Iter= 159, Average Epoch Loss= 0.0348222576
Epoch = 395, Iter= 159, Average Epoch Loss= 0.0348198360
Epoch = 396, Iter= 159, Average Epoch Loss= 0.0348212648
Epoch = 397, Iter= 159, Average Epoch Loss= 0.0348226052
Epoch = 398, Iter= 159, Average Epoch Loss= 0.0348203029
Epoch = 399, Iter= 159, Average Epoch Loss= 0.0348216258
Epoch = 400, Iter= 159, Average Epoch Loss= 0.0348213704
Epoch = 401, Iter= 159, Average Epoch Loss= 0.0348226835
Epoch = 402, Iter= 159, Average Epoch Loss= 0.0348241382
Epoch = 403, Iter= 159, Average Epoch Loss= 0.0348226718
Epoch = 404, Iter= 159, Average Epoch Loss= 0.0348209559
Epoch = 405, Iter= 159, Average Epoch Loss= 0.0348189528
Epoch = 406, Iter= 159, Average Epoch Loss= 0.0348196908
Epoch = 407, Iter= 159, Average Epoch Loss= 0.0348184812
Epoch = 408, Iter= 159, Average Epoch Loss= 0.0348191573
Epoch = 409, Iter= 159, Average Epoch Loss= 0.0348167929
Epoch = 410, Iter= 159, Average Epoch Loss= 0.0348163874
Epoch = 411, Iter= 159, Average Epoch Loss= 0.0348147890
Epoch = 412, Iter= 159, Average Epoch Loss= 0.0348140184
Epoch = 413, Iter= 159, Average Epoch Loss= 0.0348131178
Epoch = 414, Iter= 159, Average Epoch Loss= 0.0348133913
Epoch = 415, Iter= 159, Average Epoch Loss= 0.0348117334
Epoch = 416, Iter= 159, Average Epoch Loss= 0.0348113842
Epoch = 417, Iter= 159, Average Epoch Loss= 0.0348107992
Epoch = 418, Iter= 159, Average Epoch Loss= 0.0348102485
Epoch = 419, Iter= 159, Average Epoch Loss= 0.0348097049
Epoch = 420, Iter= 159, Average Epoch Loss= 0.0348047067
Epoch = 421, Iter= 159, Average Epoch Loss= 0.0348043343
Epoch = 422, Iter= 159, Average Epoch Loss= 0.0348004413
